name,position,club_from,date,fee
Rio Ferdinand,Centre-Back,Leeds,21.07.2002,41.40
Juan Sebastián Verón,Central Midfield,Lazio,12.07.2001,38.34
Dimitar Berbatov,Centre-Forward,Spurs,31.08.2008,34.20
Wayne Rooney,Attacking Midfield,Everton,30.08.2004,33.30
Anderson,Central Midfield,FC Porto,01.07.2007,28.35
Robin van Persie,Centre-Forward,Arsenal,16.08.2012,27.63
Ruud van Nistelrooy,Centre-Forward,PSV Eindhoven,30.06.2001,25.65
Michael Carrick,Defensive Midfield,Spurs,30.07.2006,24.48
Nani,Left Winger,Sporting CP,01.07.2007,22.95
Owen Hargreaves,Defensive Midfield,Bayern Munich,30.06.2007,22.50
David de Gea,Goalkeeper,Atlético Madrid,30.06.2011,22.50
Phil Jones,Centre-Back,Blackburn,30.06.2011,17.37
Dwight Yorke,Centre-Forward,Aston Villa,30.06.1998,17.33
Cristiano Ronaldo,Left Winger,Sporting CP,11.08.2003,17.10
Antonio Valencia,Right-Back,Wigan,30.06.2009,16.92
Ashley Young,Left Midfield,Aston Villa,30.06.2011,16.20
Louis Saha,Centre-Forward,Fulham,22.01.2004,15.75
Jaap Stam,Centre-Back,PSV Eindhoven,30.06.1998,15.30
Shinji Kagawa,Attacking Midfield,Bor. Dortmund,30.06.2012,14.40
Carlos Tevez,Second Striker,West Ham,09.08.2007,11.43
Wilfried Zaha,Left Winger,Crystal Palace,24.01.2013,10.58
Fabien Barthez,Goalkeeper,Monaco,30.06.2000,10.53
Diego Forlán,Centre-Forward,Independiente,19.01.2002,9.90
Gabriel Heinze,Centre-Back,Paris SG,30.06.2004,9.00
